patron,Cereales,Lácteos,Huevos,Comida rápida,Dulces,Fruta,Verduras,Legumbres,Pescado,Bebidas azucaradas,Carne,Embutidos/fiambres
Patrón equilibrado con tendencia saludable,95.0240263957298,92.21303649277587,12.652944808939317,1.4842145513899858,12.895746482366995,83.61345704187282,75.31551599333058,35.513651027777485,21.4099365990762,5.314584997780707,31.389591552310147,0.18145978957631717
Patrón tradicional,97.66479390486069,94.25308247130421,38.912780456449795,2.2681482546825853,15.522062690362242,88.67680170867115,84.40451360273988,40.99288445847803,40.16179298899491,2.2274734878577176,78.43920555790135,57.92331883609489
Patrón con tendencia poco saludable,96.45136432463187,92.75928552012972,29.754863703228366,22.316422878967774,65.89721604316637,75.46654452136818,67.85118660966685,27.127742933664695,27.32836397489201,73.09604689513874,66.43177617277578,46.04788897617394
