grupo,grupo_lbl,pct_consumo_alto_pond,n_valido,peso_total
g_cereales,Cereales,96.31739681332562,6353,6703347.893095374
g_lacteos,Lácteos,92.98939393024676,6353,6703347.893095374
g_huevos,Huevos,26.678864044992984,6353,6703347.893095374
g_comida_rapida,Comida rápida,10.040285645435905,6353,6703347.893095374
g_dulces,Dulces,34.83687306919164,6353,6703347.893095374
g_fruta,Fruta,81.7352181900137,6353,6703347.893095374
g_verduras,Verduras,74.81097045659568,6353,6703347.893095374
g_legumbres,Legumbres,33.65339039227056,6353,6703347.893095374
g_pescado,Pescado,28.905453079839454,6353,6703347.893095374
g_bebidas_azucaradas,Bebidas azucaradas,31.61232564660434,6353,6703347.893095374
g_carne,Carne,58.28194693913363,6353,6703347.893095374
g_embutidos_fiambres,Embutidos/fiambres,34.33074974097468,6353,6703347.893095374
