patron_k3_nombre,n,peso_total,pct_no_ponderado,pct_ponderado
Patrón equilibrado con tendencia saludable,2041,2186855.52154541,32.1265543837557,32.623333242153954
Patrón tradicional,1715,1832286.7947998047,26.99512041555171,27.333905744129865
Patrón con tendencia poco saludable,2597,2684205.5767501593,40.878325200692586,40.042761013716174
