group,high_consumption_pct,n_valido,peso_total
Cereales,96.31739681332562,6353,6703347.893095374
Lácteos,92.98939393024676,6353,6703347.893095374
Huevos,26.678864044992984,6353,6703347.893095374
Comida rápida,10.040285645435905,6353,6703347.893095374
Dulces,34.83687306919164,6353,6703347.893095374
Fruta,81.7352181900137,6353,6703347.893095374
Verduras,74.81097045659568,6353,6703347.893095374
Legumbres,33.65339039227056,6353,6703347.893095374
Pescado,28.90545307983945,6353,6703347.893095374
Bebidas azucaradas,31.61232564660434,6353,6703347.893095374
Carne,58.28194693913363,6353,6703347.893095374
Embutidos/fiambres,34.33074974097468,6353,6703347.893095374
